LocationID,CattleID,Latitude,Longitude,Timestamp
2063,5,35.4188,-120.3289,2024-08-23 12:00:00
2064,5,35.0074,-120.6031,2024-08-24 16:00:00
2065,5,35.4422,-120.7508,2024-08-25 08:00:00
2066,5,35.543,-120.0284,2024-08-26 18:00:00
2067,5,35.0212,-120.136,2024-08-27 07:00:00
2068,5,35.4088,-120.4563,2024-08-28 10:00:00
2069,5,35.7927,-120.61,2024-08-29 12:00:00
2070,6,35.5636,-120.3115,2024-08-16 10:00:00
2071,6,35.1713,-120.5268,2024-08-17 06:00:00
2072,6,35.6781,-120.646,2024-08-18 17:00:00
2073,6,35.4611,-120.398,2024-08-19 06:00:00
2074,6,35.6819,-120.6302,2024-08-20 13:00:00
2075,6,35.9877,-120.805,2024-08-21 17:00:00
2076,6,35.9549,-120.4024,2024-08-22 18:00:00
2077,6,35.5224,-120.5462,2024-08-23 13:00:00
2078,6,35.0852,-120.9186,2024-08-24 17:00:00
2079,6,35.3806,-120.0287,2024-08-25 07:00:00
2080,6,35.4977,-120.9522,2024-08-26 14:00:00
2081,6,35.4584,-120.6582,2024-08-27 12:00:00
2082,6,35.7641,-120.3828,2024-08-28 10:00:00
2083,6,35.9054,-120.3812,2024-08-29 18:00:00
2084,7,35.9839,-120.8381,2024-08-16 08:00:00
2085,7,35.8145,-120.8912,2024-08-17 10:00:00
2086,7,35.358,-120.75,2024-08-18 11:00:00
2087,7,35.3742,-120.2956,2024-08-19 14:00:00
2088,7,35.314,-120.343,2024-08-20 10:00:00
2089,7,35.7614,-120.7809,2024-08-21 17:00:00
2090,7,35.6286,-120.175,2024-08-22 06:00:00
2091,7,35.8399,-120.43,2024-08-23 17:00:00
2092,7,35.8663,-120.62,2024-08-24 07:00:00
2093,7,35.8504,-120.444,2024-08-25 14:00:00
2094,7,35.1509,-120.0775,2024-08-26 17:00:00
2095,7,35.2521,-120.5736,2024-08-27 11:00:00
2096,7,35.2536,-120.2528,2024-08-28 14:00:00
2097,7,35.2056,-120.5617,2024-08-29 06:00:00
2098,8,35.5528,-120.4996,2024-08-16 08:00:00
2099,8,35.3533,-120.9991,2024-08-17 15:00:00
2100,8,35.572,-120.129,2024-08-18 11:00:00
2101,8,35.4113,-120.9999,2024-08-19 08:00:00
2102,8,35.2937,-120.0105,2024-08-20 08:00:00
2103,8,35.3807,-120.3309,2024-08-21 10:00:00
2104,8,35.5359,-120.0545,2024-08-22 07:00:00
2105,8,35.3273,-120.3106,2024-08-23 08:00:00
2106,8,35.5251,-120.7864,2024-08-24 15:00:00
2107,8,35.8402,-120.0654,2024-08-25 11:00:00
2108,8,35.4445,-120.3574,2024-08-26 18:00:00
2109,8,35.2904,-120.4931,2024-08-27 12:00:00
2110,8,35.4907,-120.2431,2024-08-28 07:00:00
2111,8,35.3917,-120.8652,2024-08-29 09:00:00
2112,9,35.7331,-120.4073,2024-08-16 17:00:00
2113,9,35.9692,-120.6424,2024-08-17 17:00:00
2114,9,35.1105,-120.4613,2024-08-18 11:00:00
2115,9,35.9226,-120.6198,2024-08-19 06:00:00
2116,9,35.6126,-120.6616,2024-08-20 08:00:00
2117,9,35.235,-120.8866,2024-08-21 11:00:00
2118,9,35.1042,-120.2286,2024-08-22 18:00:00
2119,9,35.284,-120.5507,2024-08-23 15:00:00
2120,9,35.9086,-120.8741,2024-08-24 06:00:00
2121,9,35.1821,-120.0875,2024-08-25 08:00:00
2122,9,35.8333,-120.886,2024-08-26 16:00:00
2123,9,35.1229,-120.4393,2024-08-27 07:00:00
2124,9,35.8529,-120.8419,2024-08-28 09:00:00
2125,9,35.7901,-120.421,2024-08-29 14:00:00
2126,10,35.1534,-120.5738,2024-08-16 13:00:00
2127,10,35.5165,-120.3434,2024-08-17 11:00:00
2128,10,35.0766,-120.3633,2024-08-18 08:00:00
2129,10,35.3821,-120.0036,2024-08-19 18:00:00
2130,10,35.8114,-120.8315,2024-08-20 15:00:00
2131,10,35.943,-120.0004,2024-08-21 18:00:00
2132,10,35.2404,-120.7185,2024-08-22 14:00:00
2133,10,35.7817,-120.9987,2024-08-23 11:00:00
2134,10,35.6435,-120.3025,2024-08-24 13:00:00
2135,10,35.3037,-120.5559,2024-08-25 16:00:00
2136,10,35.7271,-120.8157,2024-08-26 07:00:00
2137,10,35.4537,-120.8331,2024-08-27 11:00:00
2138,10,35.0121,-120.1813,2024-08-28 06:00:00
2139,10,35.1932,-120.3277,2024-08-29 17:00:00
