BehaviorID,CattleID,BehaviorType,StartTime,EndTime,ConfidenceScore,Duration (minutes),Location
1057,1,Standing,2024-08-17 11:34:00,2024-08-17 12:07:00,0.93,33.0,Field B
1058,1,Lying Down,2024-08-17 12:07:00,2024-08-17 12:56:00,0.89,49.0,Field D
1059,1,Standing,2024-08-17 12:56:00,2024-08-17 13:33:00,0.92,37.0,Field A
1060,1,Lying Down,2024-08-17 13:33:00,2024-08-17 14:26:00,0.9,53.0,Field C
1061,1,Lying Down,2024-08-17 14:26:00,2024-08-17 15:11:00,0.93,45.0,Field D
1062,1,Lying Down,2024-08-17 15:11:00,2024-08-17 16:04:00,0.85,53.0,Field D
1063,1,Eating,2024-08-17 16:04:00,2024-08-17 16:27:00,0.97,23.0,Field B
1064,1,Lying Down,2024-08-17 16:27:00,2024-08-17 17:03:00,0.9,36.0,Field B
1065,1,Standing,2024-08-17 17:03:00,2024-08-17 17:48:00,0.86,45.0,Field B
1066,1,Lying Down,2024-08-17 17:48:00,2024-08-17 18:08:00,0.97,20.0,Field C
1067,1,Standing,2024-08-17 18:08:00,2024-08-17 18:59:00,0.97,51.0,Field B
1068,1,Lying Down,2024-08-17 18:59:00,2024-08-17 19:27:00,0.91,28.0,Field D
1069,1,Standing,2024-08-17 19:27:00,2024-08-17 19:58:00,0.87,31.0,Field A
1070,1,Standing,2024-08-17 19:58:00,2024-08-17 20:56:00,0.97,58.0,Field B
1071,1,Lying Down,2024-08-17 20:56:00,2024-08-17 21:32:00,0.94,36.0,Field B
1072,1,Standing,2024-08-17 21:32:00,2024-08-17 21:58:00,0.85,26.0,Field A
1073,1,Lying Down,2024-08-17 21:58:00,2024-08-17 22:53:00,0.97,55.0,Field D
1074,1,Eating,2024-08-17 22:53:00,2024-08-17 23:18:00,0.96,25.0,Field C
1075,1,Lying Down,2024-08-17 23:18:00,2024-08-17 23:38:00,0.95,20.0,Field A
1076,1,Standing,2024-08-17 23:38:00,2024-08-17 23:58:00,0.9,20.0,Field B
1077,1,Lying Down,2024-08-17 23:58:00,2024-08-18 00:19:00,0.86,21.0,Field D
1078,1,Lying Down,2024-08-18 00:19:00,2024-08-18 01:14:00,0.87,55.0,Field A
1079,1,Standing,2024-08-18 01:14:00,2024-08-18 01:45:00,0.98,31.0,Field A
1080,1,Eating,2024-08-18 01:45:00,2024-08-18 02:17:00,0.9,32.0,Field A
1081,1,Standing,2024-08-18 02:17:00,2024-08-18 02:49:00,0.9,32.0,Field D
1082,1,Standing,2024-08-18 02:49:00,2024-08-18 03:43:00,0.86,54.0,Field B
1083,1,Standing,2024-08-18 03:43:00,2024-08-18 04:14:00,0.88,31.0,Field C
1084,1,Eating,2024-08-18 04:14:00,2024-08-18 04:36:00,0.87,22.0,Field A
1085,1,Standing,2024-08-18 04:36:00,2024-08-18 05:36:00,0.97,60.0,Field D
1086,1,Standing,2024-08-18 05:36:00,2024-08-18 06:25:00,0.93,49.0,Field A
1087,1,Standing,2024-08-18 06:25:00,2024-08-18 06:49:00,0.97,24.0,Field D
1088,1,Standing,2024-08-18 06:49:00,2024-08-18 07:28:00,0.9,39.0,Field B
1089,1,Standing,2024-08-18 07:28:00,2024-08-18 08:14:00,0.89,46.0,Field C
1090,1,Lying Down,2024-08-18 08:14:00,2024-08-18 09:12:00,0.86,58.0,Field D
1091,1,Lying Down,2024-08-18 09:12:00,2024-08-18 10:06:00,0.97,54.0,Field B
1092,1,Eating,2024-08-18 10:06:00,2024-08-18 10:47:00,0.94,41.0,Field D
1093,1,Lying Down,2024-08-18 10:47:00,2024-08-18 11:11:00,0.92,24.0,Field B
1094,1,Lying Down,2024-08-18 11:11:00,2024-08-18 11:45:00,0.87,34.0,Field C
1095,1,Lying Down,2024-08-18 11:45:00,2024-08-18 12:19:00,0.87,34.0,Field B
1096,1,Standing,2024-08-18 12:19:00,2024-08-18 13:05:00,0.89,46.0,Field D
1097,1,Standing,2024-08-18 13:05:00,2024-08-18 14:05:00,0.96,60.0,Field C
1098,1,Lying Down,2024-08-18 14:05:00,2024-08-18 14:21:00,0.97,16.0,Field B
1099,1,Eating,2024-08-18 14:21:00,2024-08-18 15:09:00,0.98,48.0,Field A
1100,1,Lying Down,2024-08-18 15:09:00,2024-08-18 15:59:00,0.87,50.0,Field D
1101,1,Standing,2024-08-18 15:59:00,2024-08-18 16:16:00,0.87,17.0,Field C
1102,1,Eating,2024-08-18 16:16:00,2024-08-18 17:11:00,0.86,55.0,Field C
1103,1,Lying Down,2024-08-18 17:11:00,2024-08-18 17:54:00,0.86,43.0,Field A
1104,1,Lying Down,2024-08-18 17:54:00,2024-08-18 18:29:00,0.98,35.0,Field B
1105,1,Lying Down,2024-08-18 18:29:00,2024-08-18 18:55:00,0.86,26.0,Field C
1106,1,Standing,2024-08-18 18:55:00,2024-08-18 19:39:00,0.93,44.0,Field C
1107,1,Lying Down,2024-08-18 19:39:00,2024-08-18 20:14:00,0.87,35.0,Field C
1108,1,Lying Down,2024-08-18 20:14:00,2024-08-18 21:03:00,0.98,49.0,Field C
1109,1,Eating,2024-08-18 21:03:00,2024-08-18 21:53:00,0.97,50.0,Field C
1110,1,Lying Down,2024-08-18 21:53:00,2024-08-18 22:50:00,0.89,57.0,Field D
1111,1,Eating,2024-08-18 22:50:00,2024-08-18 23:09:00,0.86,19.0,Field A
1112,1,Standing,2024-08-18 23:09:00,2024-08-19 00:03:00,0.91,54.0,Field B
1113,1,Standing,2024-08-19 00:03:00,2024-08-19 00:23:00,0.9,20.0,Field A
1114,1,Lying Down,2024-08-19 00:23:00,2024-08-19 01:13:00,0.88,50.0,Field D
1115,1,Lying Down,2024-08-19 01:13:00,2024-08-19 01:31:00,0.89,18.0,Field D
1116,1,Lying Down,2024-08-19 01:31:00,2024-08-19 02:17:00,0.87,46.0,Field C
1117,1,Eating,2024-08-19 02:17:00,2024-08-19 02:52:00,0.88,35.0,Field B
1118,1,Standing,2024-08-19 02:52:00,2024-08-19 03:19:00,0.94,27.0,Field A
1119,1,Eating,2024-08-19 03:19:00,2024-08-19 04:05:00,0.95,46.0,Field B
1120,1,Lying Down,2024-08-19 04:05:00,2024-08-19 04:25:00,0.93,20.0,Field B
1121,1,Eating,2024-08-19 04:25:00,2024-08-19 04:42:00,0.88,17.0,Field C
1122,1,Lying Down,2024-08-19 04:42:00,2024-08-19 05:36:00,0.92,54.0,Field D
1123,1,Standing,2024-08-19 05:36:00,2024-08-19 06:30:00,0.96,54.0,Field B
1124,1,Eating,2024-08-19 06:30:00,2024-08-19 07:21:00,0.96,51.0,Field D
1125,1,Standing,2024-08-19 07:21:00,2024-08-19 07:45:00,0.91,24.0,Field B
1126,1,Eating,2024-08-19 07:45:00,2024-08-19 08:08:00,0.9,23.0,Field A
1127,1,Eating,2024-08-19 08:08:00,2024-08-19 08:27:00,0.94,19.0,Field A
1128,1,Eating,2024-08-19 08:27:00,2024-08-19 09:08:00,0.88,41.0,Field B
1129,1,Lying Down,2024-08-19 09:08:00,2024-08-19 09:51:00,0.94,43.0,Field C
1130,1,Standing,2024-08-19 09:51:00,2024-08-19 10:34:00,0.91,43.0,Field D
1131,1,Eating,2024-08-19 10:34:00,2024-08-19 11:00:00,0.93,26.0,Field D
1132,1,Eating,2024-08-19 11:00:00,2024-08-19 11:31:00,0.98,31.0,Field C
1133,1,Lying Down,2024-08-19 11:31:00,2024-08-19 12:08:00,0.97,37.0,Field B
1134,1,Eating,2024-08-19 12:08:00,2024-08-19 12:55:00,0.97,47.0,Field C
1135,1,Standing,2024-08-19 12:55:00,2024-08-19 13:51:00,0.89,56.0,Field A
1136,1,Standing,2024-08-19 13:51:00,2024-08-19 14:32:00,0.97,41.0,Field D
1137,1,Lying Down,2024-08-19 14:32:00,2024-08-19 14:51:00,0.95,19.0,Field D
1138,1,Lying Down,2024-08-19 14:51:00,2024-08-19 15:31:00,0.88,40.0,Field C
1139,1,Eating,2024-08-19 15:31:00,2024-08-19 16:22:00,0.98,51.0,Field D
1140,1,Standing,2024-08-19 16:22:00,2024-08-19 17:17:00,0.96,55.0,Field B
1141,1,Standing,2024-08-19 17:17:00,2024-08-19 17:38:00,0.89,21.0,Field C
1142,1,Eating,2024-08-19 17:38:00,2024-08-19 18:33:00,0.86,55.0,Field D
1143,1,Lying Down,2024-08-19 18:33:00,2024-08-19 19:03:00,0.94,30.0,Field C
1144,1,Eating,2024-08-19 19:03:00,2024-08-19 19:28:00,0.98,25.0,Field A
1145,1,Eating,2024-08-19 19:28:00,2024-08-19 20:21:00,0.96,53.0,Field B
1146,1,Lying Down,2024-08-19 20:21:00,2024-08-19 21:02:00,0.92,41.0,Field B
1147,1,Eating,2024-08-19 21:02:00,2024-08-19 21:47:00,0.89,45.0,Field B
1148,1,Standing,2024-08-19 21:47:00,2024-08-19 22:47:00,0.95,60.0,Field A
1149,1,Lying Down,2024-08-19 22:47:00,2024-08-19 23:17:00,0.99,30.0,Field C
1150,1,Standing,2024-08-19 23:17:00,2024-08-20 00:00:00,0.87,43.0,Field C
1151,1,Standing,2024-08-20 00:00:00,2024-08-20 00:29:00,0.89,29.0,Field D
1152,1,Eating,2024-08-20 00:29:00,2024-08-20 01:01:00,0.97,32.0,Field D
1153,1,Standing,2024-08-20 01:01:00,2024-08-20 02:00:00,0.9,59.0,Field D
1154,1,Lying Down,2024-08-20 02:00:00,2024-08-20 02:49:00,0.88,49.0,Field C
1155,1,Standing,2024-08-20 02:49:00,2024-08-20 03:49:00,0.87,60.0,Field A
1156,1,Eating,2024-08-20 03:49:00,2024-08-20 04:18:00,0.9,29.0,Field A
1157,1,Lying Down,2024-08-20 04:18:00,2024-08-20 05:04:00,0.97,46.0,Field B
1158,1,Standing,2024-08-20 05:04:00,2024-08-20 05:36:00,0.98,32.0,Field A
1159,1,Lying Down,2024-08-20 05:36:00,2024-08-20 06:14:00,0.89,38.0,Field B
1160,1,Lying Down,2024-08-20 06:14:00,2024-08-20 07:13:00,0.96,59.0,Field C
1161,1,Standing,2024-08-20 07:13:00,2024-08-20 07:55:00,0.98,42.0,Field A
1162,1,Lying Down,2024-08-20 07:55:00,2024-08-20 08:42:00,0.85,47.0,Field B
1163,1,Standing,2024-08-20 08:42:00,2024-08-20 09:11:00,0.98,29.0,Field D
1164,1,Standing,2024-08-20 09:11:00,2024-08-20 09:59:00,0.91,48.0,Field D
1165,1,Eating,2024-08-20 09:59:00,2024-08-20 10:14:00,0.91,15.0,Field B
1166,1,Standing,2024-08-20 10:14:00,2024-08-20 10:59:00,0.86,45.0,Field A
1167,1,Lying Down,2024-08-20 10:59:00,2024-08-20 11:53:00,0.95,54.0,Field B
1168,1,Lying Down,2024-08-20 11:53:00,2024-08-20 12:11:00,0.92,18.0,Field B
1169,1,Standing,2024-08-20 12:11:00,2024-08-20 12:54:00,0.91,43.0,Field D
1170,1,Eating,2024-08-20 12:54:00,2024-08-20 13:12:00,0.9,18.0,Field B
1171,1,Standing,2024-08-20 13:12:00,2024-08-20 13:55:00,0.97,43.0,Field C
1172,1,Eating,2024-08-20 13:55:00,2024-08-20 14:36:00,0.87,41.0,Field C
1173,1,Lying Down,2024-08-20 14:36:00,2024-08-20 15:19:00,0.98,43.0,Field D
1174,1,Standing,2024-08-20 15:19:00,2024-08-20 15:53:00,0.92,34.0,Field B
1175,1,Lying Down,2024-08-20 15:53:00,2024-08-20 16:14:00,0.87,21.0,Field C
1176,1,Lying Down,2024-08-20 16:14:00,2024-08-20 16:41:00,0.91,27.0,Field B
1177,1,Standing,2024-08-20 16:41:00,2024-08-20 17:41:00,0.94,60.0,Field A
1178,1,Eating,2024-08-20 17:41:00,2024-08-20 18:38:00,0.94,57.0,Field C
1179,1,Eating,2024-08-20 18:38:00,2024-08-20 19:03:00,0.94,25.0,Field C
1180,1,Standing,2024-08-20 19:03:00,2024-08-20 19:45:00,0.89,42.0,Field C
1181,1,Standing,2024-08-20 19:45:00,2024-08-20 20:14:00,0.86,29.0,Field D
1182,1,Lying Down,2024-08-20 20:14:00,2024-08-20 20:55:00,0.98,41.0,Field B
1183,1,Eating,2024-08-20 20:55:00,2024-08-20 21:43:00,0.89,48.0,Field D
1184,1,Lying Down,2024-08-20 21:43:00,2024-08-20 22:00:00,0.87,17.0,Field D
1185,1,Lying Down,2024-08-20 22:00:00,2024-08-20 22:40:00,0.89,40.0,Field B
1186,1,Eating,2024-08-20 22:40:00,2024-08-20 23:39:00,0.99,59.0,Field B
1187,1,Standing,2024-08-20 23:39:00,2024-08-20 23:56:00,0.97,17.0,Field B
1188,1,Lying Down,2024-08-20 23:56:00,2024-08-21 00:35:00,0.87,39.0,Field D
1189,1,Lying Down,2024-08-21 00:35:00,2024-08-21 01:07:00,0.99,32.0,Field A
1190,1,Eating,2024-08-21 01:07:00,2024-08-21 02:04:00,0.91,57.0,Field A
1191,1,Lying Down,2024-08-21 02:04:00,2024-08-21 02:42:00,0.97,38.0,Field C
1192,1,Eating,2024-08-21 02:42:00,2024-08-21 03:14:00,0.96,32.0,Field D
1193,1,Eating,2024-08-21 03:14:00,2024-08-21 03:46:00,0.9,32.0,Field D
1194,1,Lying Down,2024-08-21 03:46:00,2024-08-21 04:13:00,0.89,27.0,Field C
1195,1,Eating,2024-08-21 04:13:00,2024-08-21 04:50:00,0.95,37.0,Field A
1196,1,Eating,2024-08-21 04:50:00,2024-08-21 05:30:00,0.89,40.0,Field C
1197,1,Eating,2024-08-21 05:30:00,2024-08-21 06:27:00,0.87,57.0,Field B
1198,1,Standing,2024-08-21 06:27:00,2024-08-21 07:27:00,0.92,60.0,Field A
1199,1,Standing,2024-08-21 07:27:00,2024-08-21 08:25:00,0.96,58.0,Field A
1200,1,Standing,2024-08-21 08:25:00,2024-08-21 09:15:00,0.86,50.0,Field B
1201,1,Lying Down,2024-08-21 09:15:00,2024-08-21 09:59:00,0.91,44.0,Field A
1202,1,Standing,2024-08-21 09:59:00,2024-08-21 10:59:00,0.92,60.0,Field B
1203,1,Lying Down,2024-08-21 10:59:00,2024-08-21 11:41:00,0.87,42.0,Field A
1204,1,Standing,2024-08-21 11:41:00,2024-08-21 12:19:00,0.96,38.0,Field A
1205,1,Eating,2024-08-21 12:19:00,2024-08-21 12:36:00,0.92,17.0,Field D
1206,1,Lying Down,2024-08-21 12:36:00,2024-08-21 13:10:00,0.88,34.0,Field B
1207,1,Eating,2024-08-21 13:10:00,2024-08-21 13:54:00,0.87,44.0,Field D
1208,1,Eating,2024-08-21 13:54:00,2024-08-21 14:21:00,0.96,27.0,Field A
1209,1,Lying Down,2024-08-21 14:21:00,2024-08-21 15:12:00,0.86,51.0,Field D
1210,1,Lying Down,2024-08-21 15:12:00,2024-08-21 15:38:00,0.87,26.0,Field B
1211,1,Eating,2024-08-21 15:38:00,2024-08-21 15:58:00,0.94,20.0,Field C
1212,1,Standing,2024-08-21 15:58:00,2024-08-21 16:46:00,0.87,48.0,Field B
1213,1,Eating,2024-08-21 16:46:00,2024-08-21 17:07:00,0.93,21.0,Field C
1214,1,Lying Down,2024-08-21 17:07:00,2024-08-21 17:30:00,0.91,23.0,Field D
1215,1,Lying Down,2024-08-21 17:30:00,2024-08-21 18:23:00,0.86,53.0,Field D
1216,1,Standing,2024-08-21 18:23:00,2024-08-21 18:48:00,0.86,25.0,Field D
1217,1,Standing,2024-08-21 18:48:00,2024-08-21 19:40:00,0.89,52.0,Field B
1218,1,Standing,2024-08-21 19:40:00,2024-08-21 20:01:00,0.93,21.0,Field C
1219,1,Standing,2024-08-21 20:01:00,2024-08-21 20:29:00,0.93,28.0,Field C
1220,1,Eating,2024-08-21 20:29:00,2024-08-21 21:23:00,0.93,54.0,Field D
1221,1,Lying Down,2024-08-21 21:23:00,2024-08-21 22:15:00,0.9,52.0,Field C
1222,1,Eating,2024-08-21 22:15:00,2024-08-21 22:33:00,0.93,18.0,Field B
1223,1,Standing,2024-08-21 22:33:00,2024-08-21 23:15:00,0.96,42.0,Field C
1224,1,Lying Down,2024-08-21 23:15:00,2024-08-21 23:37:00,0.91,22.0,Field D
1225,1,Eating,2024-08-21 23:37:00,2024-08-22 00:15:00,0.91,38.0,Field D
1226,1,Eating,2024-08-22 00:15:00,2024-08-22 01:03:00,0.92,48.0,Field B
1227,1,Eating,2024-08-22 01:03:00,2024-08-22 01:52:00,0.86,49.0,Field C
1228,1,Standing,2024-08-22 01:52:00,2024-08-22 02:41:00,0.91,49.0,Field D
1229,1,Standing,2024-08-22 02:41:00,2024-08-22 03:30:00,0.98,49.0,Field B
1230,1,Lying Down,2024-08-22 03:30:00,2024-08-22 03:47:00,0.95,17.0,Field A
1231,1,Lying Down,2024-08-22 03:47:00,2024-08-22 04:20:00,0.92,33.0,Field B
1232,1,Lying Down,2024-08-22 04:20:00,2024-08-22 05:07:00,0.86,47.0,Field A
1233,1,Standing,2024-08-22 05:07:00,2024-08-22 05:24:00,0.91,17.0,Field C
1234,1,Eating,2024-08-22 05:24:00,2024-08-22 06:17:00,0.86,53.0,Field A
1235,1,Eating,2024-08-22 06:17:00,2024-08-22 06:35:00,0.89,18.0,Field A
1236,1,Standing,2024-08-22 06:35:00,2024-08-22 07:14:00,0.97,39.0,Field C
1237,1,Standing,2024-08-22 07:14:00,2024-08-22 07:58:00,0.88,44.0,Field C
1238,1,Standing,2024-08-22 07:58:00,2024-08-22 08:55:00,0.92,57.0,Field D
1239,1,Eating,2024-08-22 08:55:00,2024-08-22 09:42:00,0.99,47.0,Field B
1240,1,Eating,2024-08-22 09:42:00,2024-08-22 10:04:00,0.88,22.0,Field D
1241,1,Eating,2024-08-22 10:04:00,2024-08-22 11:04:00,0.91,60.0,Field C
1242,1,Standing,2024-08-22 11:04:00,2024-08-22 11:32:00,0.95,28.0,Field B
1243,1,Standing,2024-08-22 11:32:00,2024-08-22 12:05:00,0.85,33.0,Field D
1244,1,Eating,2024-08-22 12:05:00,2024-08-22 13:03:00,0.87,58.0,Field A
1245,1,Standing,2024-08-22 13:03:00,2024-08-22 13:19:00,0.91,16.0,Field A
1246,1,Standing,2024-08-22 13:19:00,2024-08-22 13:53:00,0.95,34.0,Field A
1247,1,Standing,2024-08-22 13:53:00,2024-08-22 14:11:00,0.95,18.0,Field D
1248,1,Eating,2024-08-22 14:11:00,2024-08-22 14:59:00,0.88,48.0,Field A
1249,1,Eating,2024-08-22 14:59:00,2024-08-22 15:29:00,0.96,30.0,Field B
1250,1,Lying Down,2024-08-22 15:29:00,2024-08-22 16:07:00,0.96,38.0,Field B
1251,1,Lying Down,2024-08-22 16:07:00,2024-08-22 16:22:00,0.89,15.0,Field D
1252,1,Lying Down,2024-08-22 16:22:00,2024-08-22 17:12:00,0.86,50.0,Field A
1253,1,Lying Down,2024-08-22 17:12:00,2024-08-22 17:50:00,0.95,38.0,Field C
1254,1,Eating,2024-08-22 17:50:00,2024-08-22 18:38:00,0.9,48.0,Field C
1255,1,Lying Down,2024-08-22 18:38:00,2024-08-22 19:06:00,0.87,28.0,Field C
1256,1,Eating,2024-08-22 19:06:00,2024-08-22 19:35:00,0.92,29.0,Field C
1257,1,Standing,2024-08-22 19:35:00,2024-08-22 19:52:00,0.9,17.0,Field B
1258,1,Standing,2024-08-22 19:52:00,2024-08-22 20:39:00,0.87,47.0,Field A
1259,1,Standing,2024-08-22 20:39:00,2024-08-22 20:57:00,0.97,18.0,Field A
1260,1,Standing,2024-08-22 20:57:00,2024-08-22 21:24:00,0.87,27.0,Field A
1261,1,Lying Down,2024-08-22 21:24:00,2024-08-22 21:59:00,0.9,35.0,Field B
1262,1,Lying Down,2024-08-22 21:59:00,2024-08-22 22:26:00,0.91,27.0,Field A
1263,1,Standing,2024-08-22 22:26:00,2024-08-22 22:57:00,0.93,31.0,Field B
1264,1,Eating,2024-08-22 22:57:00,2024-08-22 23:47:00,0.9,50.0,Field C
1265,1,Lying Down,2024-08-22 23:47:00,2024-08-23 00:34:00,0.87,47.0,Field C
1266,1,Standing,2024-08-23 00:34:00,2024-08-23 01:17:00,0.99,43.0,Field A
1267,1,Lying Down,2024-08-23 01:17:00,2024-08-23 02:00:00,0.97,43.0,Field D
1268,1,Standing,2024-08-23 02:00:00,2024-08-23 02:38:00,0.94,38.0,Field C
1269,1,Lying Down,2024-08-23 02:38:00,2024-08-23 03:33:00,0.92,55.0,Field A
1270,1,Eating,2024-08-23 03:33:00,2024-08-23 04:26:00,0.9,53.0,Field A
1271,1,Lying Down,2024-08-23 04:26:00,2024-08-23 04:41:00,0.85,15.0,Field A
1272,1,Lying Down,2024-08-23 04:41:00,2024-08-23 05:26:00,0.96,45.0,Field A
1273,1,Lying Down,2024-08-23 05:26:00,2024-08-23 06:24:00,0.98,58.0,Field C
1274,1,Eating,2024-08-23 06:24:00,2024-08-23 07:21:00,0.94,57.0,Field A
1275,1,Standing,2024-08-23 07:21:00,2024-08-23 08:10:00,0.92,49.0,Field C
1276,1,Standing,2024-08-23 08:10:00,2024-08-23 08:44:00,0.95,34.0,Field D
1277,1,Eating,2024-08-23 08:44:00,2024-08-23 09:23:00,0.94,39.0,Field A
1278,1,Standing,2024-08-23 09:23:00,2024-08-23 09:49:00,0.88,26.0,Field B
1279,1,Eating,2024-08-23 09:49:00,2024-08-23 10:11:00,0.97,22.0,Field C
1280,1,Lying Down,2024-08-23 10:11:00,2024-08-23 10:38:00,0.96,27.0,Field C
1281,1,Lying Down,2024-08-23 10:38:00,2024-08-23 11:23:00,0.87,45.0,Field D
1282,1,Eating,2024-08-23 11:23:00,2024-08-23 12:08:00,0.97,45.0,Field C
1283,1,Lying Down,2024-08-23 12:08:00,2024-08-23 12:56:00,0.91,48.0,Field B
1284,1,Standing,2024-08-23 12:56:00,2024-08-23 13:24:00,0.94,28.0,Field D
1285,1,Lying Down,2024-08-23 13:24:00,2024-08-23 13:40:00,0.9,16.0,Field B
1286,1,Lying Down,2024-08-23 13:40:00,2024-08-23 14:22:00,0.91,42.0,Field A
1287,1,Eating,2024-08-23 14:22:00,2024-08-23 15:15:00,0.91,53.0,Field C
1288,1,Standing,2024-08-23 15:15:00,2024-08-23 15:45:00,0.98,30.0,Field D
1289,1,Eating,2024-08-23 15:45:00,2024-08-23 16:26:00,0.96,41.0,Field A
1290,1,Lying Down,2024-08-23 16:26:00,2024-08-23 16:53:00,0.96,27.0,Field C
